state	Tree Height	Time of maximum lineages	Slope ratio for LTT plot	Colless tree-imbalance	External/Internal ratio	
0	0.10689	0.008537000000000003	0.08679958923469548	0.23541247484909456	1.1937915753280512	
1	0.17035067911793944	0.008692847857951547	0.05377313174498292	0.1533199195171026	0.6960799686904802	
2	0.19192487379666162	0.008573375889380286	0.046759235606112906	0.12756539235412476	0.7086478101559187	
3	0.275632812542116	0.008250328942475016	0.030855906607661167	0.15492957746478872	0.6173111273606893	
4	0.1774472969187486	0.008327481349829885	0.049240127904682574	0.14245472837022133	0.6257315970947225	
5	0.2908857628329777	0.00825877458734603	0.029221464795740996	0.20724346076458752	0.4803432445200209	
6	0.23704205280229776	0.008266377172913203	0.036133112273285084	0.13762575452716297	0.6159609952883766	
7	0.380521908409569	0.008292535419354374	0.022278025381872197	0.12515090543259558	0.3567293315577356	
8	0.08750741316430016	0.008317075061925347	0.10502638656717551	0.11871227364185111	0.6596414125826264	
9	0.1376757851000395	0.008255445266436345	0.06378785032592592	0.16498993963782696	0.6338484435301445	
10	0.6039257204228436	0.008284696780347156	0.013908875398951076	0.17746478873239435	0.28777289803556727	
11	0.16111652977534	0.011802678745880979	0.07904610767525082	0.13360160965794768	0.5989992778052315	
12	0.13867964773000596	0.008459394508206985	0.06496220287483573	0.18993963782696177	0.7386346968000617	
13	0.21254781934196185	0.011288085349694915	0.05608715228714672	0.21569416498993962	1.030977809969155	
14	0.23404063459954116	0.008280083772947755	0.03667639781454859	0.14325955734406437	0.5395489213136933	
15	0.2505575082391061	0.008369291163173448	0.034556970872573235	0.1505030181086519	0.7165230337674551	
16	0.14663631907827918	0.008262266657592554	0.05970965302420646	0.14084507042253522	1.0282099356423122	
17	0.1721529062399374	0.008704061643006106	0.05325251251833886	0.179476861167002	0.5519211059603116	
18	0.09413608068145013	0.011031872968149337	0.13274746576259927	0.19114688128772636	1.455790244212808	
19	0.146399172821954	0.008408536210283257	0.060935556330146634	0.17263581488933602	0.5780308071467188	
20	0.1648796403886813	0.008228873180977148	0.0525300534919592	0.1806841046277666	0.705268901236998	
21	0.24039764399788988	0.008382607139063386	0.036129585618900756	0.13923541247484908	0.7631462424080477	
22	0.14357946543562192	0.008361444688834235	0.061836762900797565	0.12193158953722334	0.5615177116238865	
23	0.11471653745191858	0.008485115916149158	0.0798738809429573	0.15935613682092556	0.7555473346760586	
24	0.1619833908325551	0.008250418066583054	0.05366719915800157	0.1806841046277666	0.8562763656431414	
25	0.42188988812407807	0.008342513331537182	0.020173053536423166	0.20523138832997986	0.30690584983623675	
26	0.18439298533916781	0.008251176991902032	0.04684394391838383	0.2414486921529175	1.0639324023175474	
27	0.09335425643402785	0.008494558299530233	0.10010120806777864	0.11911468812877263	0.6493139379207371	
28	0.1980612171204473	0.008286604910079848	0.043665508328869854	0.13360160965794768	0.7354506221657559	
29	0.2836448969510929	0.008257965431745173	0.02998677310569836	0.22253521126760561	0.523963498190657	
30	0.12587695732481394	0.008754941214550921	0.07475060202437682	0.14647887323943662	0.7928896739850552	
31	0.1488439997586163	0.008237116651775261	0.05858259901484506	0.1283702213279678	0.7480185647137566	
32	0.1681409658570595	0.00870371921143584	0.054590250362146125	0.1750503018108652	0.672739313812377	
33	0.16185507144642852	0.008226465005520378	0.05354774215624102	0.19718309859154928	0.8141793871536076	
34	0.18774044377934562	0.008243862188720197	0.045927683500523835	0.1517102615694165	0.5344965886901085	
35	0.20213669561801703	0.008225723768447907	0.042420104906849734	0.15492957746478872	0.5062311783124996	
36	0.21214400473895045	0.008300004602016076	0.040717433902594434	0.2209255533199195	0.516772928308157	
